2011-09-16,98.503
2011-09-19,97.577
2011-09-20,97.416
2011-09-21,94.467
2011-09-22,91.506
2011-09-23,91.929
2011-09-26,94.166
2011-09-27,95.25
2011-09-28,93.351
2011-09-29,94.02
2011-09-30,91.78
2011-10-03,88.968
2011-10-04,90.918
2011-10-05,92.726
2011-10-06,94.515
2011-10-07,93.783
2011-10-10,96.962
2011-10-11,96.922
2011-10-12,97.813
2011-10-13,97.674
2011-10-14,99.29
2011-10-17,97.435
2011-10-18,99.379
2011-10-19,98.138
2011-10-20,98.574
2011-10-21,100.47
2011-10-24,101.75
2011-10-25,99.78
2011-10-26,100.75
2011-10-27,104.22
2011-10-28,104.33
2011-10-31,101.67
2011-11-01,98.96
2011-11-02,100.5
2011-11-03,102.37
2011-11-04,101.79
2011-11-07,102.37
2011-11-08,103.6
2011-11-09,99.86
2011-11-10,100.76
2011-11-11,102.73
2011-11-14,101.73
2011-11-15,102.26
2011-11-16,100.61
2011-11-17,99.011
2011-11-18,98.862
2011-11-21,97.084
2011-11-22,96.572
2011-11-23,94.524
2011-11-25,94.25
2011-11-28,97.064
2011-11-29,97.359
2011-11-30,101.35
2011-12-01,101.28
2011-12-02,101.22
2011-12-05,102.31
2011-12-06,102.41
2011-12-07,102.76
2011-12-08,100.51
2011-12-09,102.22
2011-12-12,100.76
2011-12-13,99.8
2011-12-14,98.674
2011-12-15,99.051
2011-12-16,99.131
2011-12-19,98.118
2011-12-20,101.05
2011-12-21,101.35
2011-12-22,102.3
2011-12-23,103.12
2011-12-27,103.23
2011-12-28,101.96
2011-12-29,102.88
2011-12-30,102.47
2012-01-03,104.01
2012-01-04,104.18
2012-01-05,104.5
2012-01-06,104.31
2012-01-09,104.46
2012-01-10,105.36
2012-01-11,105.47
2012-01-12,105.7
2012-01-13,105.25
2012-01-17,105.55
2012-01-18,106.71
2012-01-19,107.29
2012-01-20,107.29
2012-01-23,107.4
2012-01-24,107.24
2012-01-25,108.17
2012-01-26,107.62
2012-01-27,107.49
2012-01-30,107.13
2012-01-31,107.07
2012-02-01,108.08
2012-02-02,108.31
2012-02-03,109.82
2012-02-06,109.67
2012-02-07,110
2012-02-08,110.25
2012-02-09,110.38
2012-02-10,109.6
2012-02-13,110.47
2012-02-14,110.3
2012-02-15,109.8
2012-02-16,111.02
